1,CRM100,Success,Inserted,2026-06-19 21:11:25.643
2,CRM101,Success,Inserted,2026-06-20 13:00:32.740
3,CRM101,Skipped,Already Exists,2026-06-20 13:01:06.590
4,CRM101,Skipped,Already Exists,2026-06-20 19:18:32.550
5,CRM100,Skipped,Already Exists,2026-06-20 19:21:50.547
6,CRM100,Skipped,Already Exists,2026-06-20 19:21:56.773
7,CRM102,Success,Inserted,2026-06-20 19:37:40.417
8,CRM102,Skipped,Already Exists,2026-06-20 19:37:48.193
9,CRM100,Skipped,Already Exists,2026-06-20 21:18:44.467
10,CRM103,Success,Inserted,2026-06-20 22:37:20.780
1009,string,Success,Inserted,2026-06-22 14:40:13.387
1010,string,Success,Inserted,2026-06-22 14:50:33.687
1011,CRM102,Success,Inserted,2026-06-22 19:40:48.417
1012,CRM102,Skipped,Already Exists,2026-06-22 19:54:25.090
1013,CRM102,Skipped,Already Exists,2026-06-22 19:55:31.030
1014,string2,Success,Inserted,2026-06-23 00:20:20.240
1015,CRM200,Success,Inserted,2026-06-23 00:36:16.420
